PACKET_ID,SEGMENT_ID,PACKET_TYPE,CONTROL_PACKET_TYPE/APP_NAME,SOURCE_ID,DESTINATION_ID,TRANSMITTER_ID,RECEIVER_ID,APP_LAYER_ARRIVAL_TIME(US),TRX_LAYER_ARRIVAL_TIME(US),NW_LAYER_ARRIVAL_TIME(US),MAC_LAYER_ARRIVAL_TIME(US),PHY_LAYER_ARRIVAL_TIME(US),PHY_LAYER_START_TIME(US),PHY_LAYER_END_TIME(US),APP_LAYER_PAYLOAD(Bytes),TRX_LAYER_PAYLOAD(Bytes),NW_LAYER_PAYLOAD(Bytes),MAC_LAYER_PAYLOAD(Bytes),PHY_LAYER_PAYLOAD(Bytes),PHY_LAYER_OVERHEAD(Bytes),PACKET_STATUS,LOCAL_ADDRESS,REMOTE_ADDRESS,CWND,SEQ_NO,ACK_NO,isSyn,isAck,isFin,SEGMENT_LEN,SOURCE_IP,DESTINATION_IP,GATEWAY_IP,NEXT_HOP_IP,
270,0,CBR,APP1_CBR,NODE-5,NODE-6,SWITCH-2,ROUTER-1,5400000.000,0.000,5400000.000,5400000.000,5400127.080,5400249.160,5400254.160,1460.000,1460.000,1480.000,1500.000,1526.000,0.000,Successful,11.3.1.3:82,11.3.1.1:36934,65535,397741,0,False,False,False,1460,11.3.1.3,11.3.1.1,11.3.1.3,11.3.1.1,
270,0,CBR,APP1_CBR,NODE-5,NODE-6,ROUTER-1,SWITCH-3,5400000.000,0.000,5400254.160,5400254.160,5400254.160,5400376.240,5400381.240,1460.000,1460.000,1480.000,1500.000,1526.000,0.000,Successful,11.3.1.3:82,11.4.1.2:36934,65535,397741,0,False,False,False,1460,11.3.1.3,11.4.1.2,11.4.1.1,11.4.1.2,
270,0,CBR,APP1_CBR,NODE-5,NODE-6,SWITCH-3,NODE-6,5400000.000,0.000,5400254.160,5400254.160,5400381.240,5400503.320,5400508.320,1460.000,1460.000,1480.000,1500.000,1526.000,0.000,Successful,11.3.1.3:82,11.4.1.2:36934,65535,397741,0,False,False,False,1460,11.3.1.3,11.4.1.2,11.4.1.1,11.4.1.2,
0,N/A,Control_Packet,TCP_ACK,NODE-6,NODE-5,NODE-6,SWITCH-3,N/A,5400508.320,5400508.320,5400508.320,5400508.320,5400513.600,5400518.600,N/A,0.000,20.000,40.000,66.000,0.000,Successful,11.4.1.2:36934,11.4.1.1:82,4381,5011,399201,False,True,False,0,11.4.1.2,11.4.1.1,11.4.1.2,11.4.1.1,
0,N/A,Control_Packet,TCP_ACK,NODE-6,NODE-5,SWITCH-3,ROUTER-1,N/A,5400508.320,5400508.320,5400508.320,5400518.600,5400523.880,5400528.880,N/A,0.000,20.000,40.000,66.000,0.000,Successful,11.4.1.2:36934,11.4.1.1:82,4381,5011,399201,False,True,False,0,11.4.1.2,11.4.1.1,11.4.1.2,11.4.1.1,
0,N/A,Control_Packet,TCP_ACK,NODE-6,NODE-5,ROUTER-1,SWITCH-2,N/A,5400508.320,5400528.880,5400528.880,5400528.880,5400534.160,5400539.160,N/A,0.000,20.000,40.000,66.000,0.000,Successful,11.4.1.2:36934,11.3.1.3:82,4381,5011,399201,False,True,False,0,11.4.1.2,11.3.1.3,11.3.1.1,11.3.1.3,
0,N/A,Control_Packet,TCP_ACK,NODE-6,NODE-5,SWITCH-2,NODE-5,N/A,5400508.320,5400528.880,5400528.880,5400539.160,5400544.440,5400549.440,N/A,0.000,20.000,40.000,66.000,0.000,Successful,11.4.1.2:36934,11.3.1.3:82,4381,5011,399201,False,True,False,0,11.4.1.2,11.3.1.3,11.3.1.1,11.3.1.3,
271,0,CBR,APP1_CBR,NODE-5,NODE-6,NODE-5,SWITCH-2,5420000.000,0.000,5420000.000,5420000.000,5420000.000,5420122.080,5420127.080,1460.000,1460.000,1480.000,1500.000,1526.000,0.000,Successful,11.3.1.3:82,11.3.1.1:36934,65535,399201,0,False,False,False,1460,11.3.1.3,11.3.1.1,11.3.1.3,11.3.1.1,
271,0,CBR,APP1_CBR,NODE-5,NODE-6,SWITCH-2,ROUTER-1,5420000.000,0.000,5420000.000,5420000.000,5420127.080,5420249.160,5420254.160,1460.000,1460.000,1480.000,1500.000,1526.000,0.000,Successful,11.3.1.3:82,11.3.1.1:36934,65535,399201,0,False,False,False,1460,11.3.1.3,11.3.1.1,11.3.1.3,11.3.1.1,
271,0,CBR,APP1_CBR,NODE-5,NODE-6,ROUTER-1,SWITCH-3,5420000.000,0.000,5420254.160,5420254.160,5420254.160,5420376.240,5420381.240,1460.000,1460.000,1480.000,1500.000,1526.000,0.000,Successful,11.3.1.3:82,11.4.1.2:36934,65535,399201,0,False,False,False,1460,11.3.1.3,11.4.1.2,11.4.1.1,11.4.1.2,
271,0,CBR,APP1_CBR,NODE-5,NODE-6,SWITCH-3,NODE-6,5420000.000,0.000,5420254.160,5420254.160,5420381.240,5420503.320,5420508.320,1460.000,1460.000,1480.000,1500.000,1526.000,0.000,Successful,11.3.1.3:82,11.4.1.2:36934,65535,399201,0,False,False,False,1460,11.3.1.3,11.4.1.2,11.4.1.1,11.4.1.2,
0,N/A,Control_Packet,TCP_ACK,NODE-6,NODE-5,NODE-6,SWITCH-3,N/A,5420508.320,5420508.320,5420508.320,5420508.320,5420513.600,5420518.600,N/A,0.000,20.000,40.000,66.000,0.000,Successful,11.4.1.2:36934,11.4.1.1:82,4381,5011,400661,False,True,False,0,11.4.1.2,11.4.1.1,11.4.1.2,11.4.1.1,
0,N/A,Control_Packet,TCP_ACK,NODE-6,NODE-5,SWITCH-3,ROUTER-1,N/A,5420508.320,5420508.320,5420508.320,5420518.600,5420523.880,5420528.880,N/A,0.000,20.000,40.000,66.000,0.000,Successful,11.4.1.2:36934,11.4.1.1:82,4381,5011,400661,False,True,False,0,11.4.1.2,11.4.1.1,11.4.1.2,11.4.1.1,
0,N/A,Control_Packet,TCP_ACK,NODE-6,NODE-5,ROUTER-1,SWITCH-2,N/A,5420508.320,5420528.880,5420528.880,5420528.880,5420534.160,5420539.160,N/A,0.000,20.000,40.000,66.000,0.000,Successful,11.4.1.2:36934,11.3.1.3:82,4381,5011,400661,False,True,False,0,11.4.1.2,11.3.1.3,11.3.1.1,11.3.1.3,
0,N/A,Control_Packet,TCP_ACK,NODE-6,NODE-5,SWITCH-2,NODE-5,N/A,5420508.320,5420528.880,5420528.880,5420539.160,5420544.440,5420549.440,N/A,0.000,20.000,40.000,66.000,0.000,Successful,11.4.1.2:36934,11.3.1.3:82,4381,5011,400661,False,True,False,0,11.4.1.2,11.3.1.3,11.3.1.1,11.3.1.3,
272,0,CBR,APP1_CBR,NODE-5,NODE-6,NODE-5,SWITCH-2,5440000.000,0.000,5440000.000,5440000.000,5440000.000,5440122.080,5440127.080,1460.000,1460.000,1480.000,1500.000,1526.000,0.000,Successful,11.3.1.3:82,11.3.1.1:36934,65535,400661,0,False,False,False,1460,11.3.1.3,11.3.1.1,11.3.1.3,11.3.1.1,
272,0,CBR,APP1_CBR,NODE-5,NODE-6,SWITCH-2,ROUTER-1,5440000.000,0.000,5440000.000,5440000.000,5440127.080,5440249.160,5440254.160,1460.000,1460.000,1480.000,1500.000,1526.000,0.000,Successful,11.3.1.3:82,11.3.1.1:36934,65535,400661,0,False,False,False,1460,11.3.1.3,11.3.1.1,11.3.1.3,11.3.1.1,
272,0,CBR,APP1_CBR,NODE-5,NODE-6,ROUTER-1,SWITCH-3,5440000.000,0.000,5440254.160,5440254.160,5440254.160,5440376.240,5440381.240,1460.000,1460.000,1480.000,1500.000,1526.000,0.000,Successful,11.3.1.3:82,11.4.1.2:36934,65535,400661,0,False,False,False,1460,11.3.1.3,11.4.1.2,11.4.1.1,11.4.1.2,
272,0,CBR,APP1_CBR,NODE-5,NODE-6,SWITCH-3,NODE-6,5440000.000,0.000,5440254.160,5440254.160,5440381.240,5440503.320,5440508.320,1460.000,1460.000,1480.000,1500.000,1526.000,0.000,Successful,11.3.1.3:82,11.4.1.2:36934,65535,400661,0,False,False,False,1460,11.3.1.3,11.4.1.2,11.4.1.1,11.4.1.2,
0,N/A,Control_Packet,TCP_ACK,NODE-6,NODE-5,NODE-6,SWITCH-3,N/A,5440508.320,5440508.320,5440508.320,5440508.320,5440513.600,5440518.600,N/A,0.000,20.000,40.000,66.000,0.000,Successful,11.4.1.2:36934,11.4.1.1:82,4381,5011,402121,False,True,False,0,11.4.1.2,11.4.1.1,11.4.1.2,11.4.1.1,
0,N/A,Control_Packet,TCP_ACK,NODE-6,NODE-5,SWITCH-3,ROUTER-1,N/A,5440508.320,5440508.320,5440508.320,5440518.600,5440523.880,5440528.880,N/A,0.000,20.000,40.000,66.000,0.000,Successful,11.4.1.2:36934,11.4.1.1:82,4381,5011,402121,False,True,False,0,11.4.1.2,11.4.1.1,11.4.1.2,11.4.1.1,
0,N/A,Control_Packet,TCP_ACK,NODE-6,NODE-5,ROUTER-1,SWITCH-2,N/A,5440508.320,5440528.880,5440528.880,5440528.880,5440534.160,5440539.160,N/A,0.000,20.000,40.000,66.000,0.000,Successful,11.4.1.2:36934,11.3.1.3:82,4381,5011,402121,False,True,False,0,11.4.1.2,11.3.1.3,11.3.1.1,11.3.1.3,
0,N/A,Control_Packet,TCP_ACK,NODE-6,NODE-5,SWITCH-2,NODE-5,N/A,5440508.320,5440528.880,5440528.880,5440539.160,5440544.440,5440549.440,N/A,0.000,20.000,40.000,66.000,0.000,Successful,11.4.1.2:36934,11.3.1.3:82,4381,5011,402121,False,True,False,0,11.4.1.2,11.3.1.3,11.3.1.1,11.3.1.3,
273,0,CBR,APP1_CBR,NODE-5,NODE-6,NODE-5,SWITCH-2,5460000.000,0.000,5460000.000,5460000.000,5460000.000,5460122.080,5460127.080,1460.000,1460.000,1480.000,1500.000,1526.000,0.000,Successful,11.3.1.3:82,11.3.1.1:36934,65535,402121,0,False,False,False,1460,11.3.1.3,11.3.1.1,11.3.1.3,11.3.1.1,
273,0,CBR,APP1_CBR,NODE-5,NODE-6,SWITCH-2,ROUTER-1,5460000.000,0.000,5460000.000,5460000.000,5460127.080,5460249.160,5460254.160,1460.000,1460.000,1480.000,1500.000,1526.000,0.000,Successful,11.3.1.3:82,11.3.1.1:36934,65535,402121,0,False,False,False,1460,11.3.1.3,11.3.1.1,11.3.1.3,11.3.1.1,
273,0,CBR,APP1_CBR,NODE-5,NODE-6,ROUTER-1,SWITCH-3,5460000.000,0.000,5460254.160,5460254.160,5460254.160,5460376.240,5460381.240,1460.000,1460.000,1480.000,1500.000,1526.000,0.000,Successful,11.3.1.3:82,11.4.1.2:36934,65535,402121,0,False,False,False,1460,11.3.1.3,11.4.1.2,11.4.1.1,11.4.1.2,
273,0,CBR,APP1_CBR,NODE-5,NODE-6,SWITCH-3,NODE-6,5460000.000,0.000,5460254.160,5460254.160,5460381.240,5460503.320,5460508.320,1460.000,1460.000,1480.000,1500.000,1526.000,0.000,Successful,11.3.1.3:82,11.4.1.2:36934,65535,402121,0,False,False,False,1460,11.3.1.3,11.4.1.2,11.4.1.1,11.4.1.2,
0,N/A,Control_Packet,TCP_ACK,NODE-6,NODE-5,NODE-6,SWITCH-3,N/A,5460508.320,5460508.320,5460508.320,5460508.320,5460513.600,5460518.600,N/A,0.000,20.000,40.000,66.000,0.000,Successful,11.4.1.2:36934,11.4.1.1:82,4381,5011,403581,False,True,False,0,11.4.1.2,11.4.1.1,11.4.1.2,11.4.1.1,
